date,sessionId,debut_parc,fin_parc,temps_parcours_secondes,parcours
04-01-2023,82350231838028896201672830609,04/01/2023 12:11:55,04/01/2023 12:18:49,415,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/estimation_tarifaire/etape_12_equipement_electromenager,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat"
01-02-2023,57289162391054603021675279943,01/02/2023 20:33:51,01/02/2023 20:37:46,235,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
31-01-2023,63326837621166791241675187668,31/01/2023 18:57:34,31/01/2023 18:57:35,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
31-10-2022,57967884862897414991667247546,31/10/2022 21:19:06,31/10/2022 21:19:06,0,"/souscription/souscription_tel4_contrat/projet,/apps/tunnel_de_souscription_v4_etape_1_projet"
13-12-2022,88586047825185462921670918003,13/12/2022 08:57:42,13/12/2022 08:57:42,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
05-01-2023,42818968059372838701672948410,05/01/2023 20:55:18,05/01/2023 20:55:18,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
07-01-2023,45298714457770090381673087375,07/01/2023 11:29:45,07/01/2023 11:29:45,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
03-02-2023,56303276743023917271675458535,03/02/2023 22:16:36,03/02/2023 22:20:46,249,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
30-11-2022,32271871116145381451669816305,30/11/2022 14:56:07,30/11/2022 14:59:46,219,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
11-01-2023,91187644335418740921673425135,11/01/2023 09:20:13,11/01/2023 09:28:47,514,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
04-01-2023,13513047400118695821672840590,04/01/2023 14:56:36,04/01/2023 14:59:13,157,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement"
11-01-2023,39264093121207847971673447325,11/01/2023 15:28:54,11/01/2023 15:31:18,144,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement"
21-11-2022,10890270129800694391669026879,21/11/2022 11:36:36,21/11/2022 11:43:39,423,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/souscription/souscription_tel4_contrat/paiement,/apps/tunnel_de_souscription_v4_etape_1_projet"
14-01-2023,5270217891598192731673725962,14/01/2023 20:55:04,14/01/2023 21:29:26,2061,"/souscription/souscription_tel4/projet,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_1_projet,/souscription/souscription_tel4/projet,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
11-01-2023,6600157392429768921673434749,11/01/2023 11:59:24,11/01/2023 12:03:09,225,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation,/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
07-11-2022,37758440624132806051667853043,07/11/2022 21:30:43,07/11/2022 21:49:29,1125,"/souscription/souscription_tel4_demande,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_connexion,/souscription/souscription_tel4_demande/connexion,/apps/tunnel_de_souscription_v4_etape_1_projet"
16-11-2022,76224780661899132371668599465,16/11/2022 12:53:15,16/11/2022 12:57:10,235,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
03-01-2023,22325193807463366541672761256,03/01/2023 16:54:16,03/01/2023 16:54:17,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
01-02-2023,60778505019029004651675239183,01/02/2023 09:14:12,01/02/2023 09:14:12,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
15-01-2023,33630445292834804131673739101,15/01/2023 00:32:22,15/01/2023 00:32:22,1,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
31-01-2023,41268782592830219761675153560,31/01/2023 09:43:24,31/01/2023 09:43:24,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
10-01-2023,77066579219577323451673371641,10/01/2023 18:28:18,10/01/2023 18:28:18,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
02-02-2023,83793244040952043011675312077,02/02/2023 05:29:59,02/02/2023 05:29:59,0,"/souscription/souscription_tel4_contrat,/apps/tunnel_de_souscription_v4_etape_1_projet"
14-01-2023,17077026380632772241673680040,14/01/2023 08:07:27,14/01/2023 08:10:15,167,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_connexion,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement"
08-01-2023,75999870576316864351673210344,08/01/2023 21:53:47,08/01/2023 21:53:47,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
17-01-2023,19583438169229120001673909776,17/01/2023 00:00:17,17/01/2023 00:11:18,661,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_2_offre,/apps/tunnel_de_souscription_v4_etape_3_options,/apps/tunnel_de_souscription_v4_etape_4_identite,/apps/tunnel_de_souscription_v4_etape_5_index,/apps/tunnel_de_souscription_v4_etape_6_paiement,/apps/tunnel_de_souscription_v4_etape_7_mandat,/apps/tunnel_de_souscription_v4_etape_8_confirmation"
10-01-2023,46071273074528763801673359492,10/01/2023 15:04:53,10/01/2023 15:04:53,0,"/souscription/souscription_tel4,/apps/tunnel_de_souscription_v4_etape_1_projet"
06-01-2023,47157532967257975531673016062,06/01/2023 15:41:02,06/01/2023 15:41:02,0,"/souscription/souscription_tel4/coordonnees,/apps/tunnel_de_souscription_v4_etape_1_projet"
13-11-2022,51378917337280741441668349133,13/11/2022 15:18:53,13/11/2022 15:18:53,0,"/souscription/souscription_tel4_contrat/projet,/apps/tunnel_de_souscription_v4_etape_1_projet"
